Packet Number,Time
1,0
2,0.25
3,1.0
4,1.75
5,2.5
6,2.75
7,3.5
8,3.75
9,4.0
10,4.25
11,5.0
12,5.75
13,6.0
14,6.75
15,7.0
16,7.25
17,7.5
18,7.75
19,8.5
20,9.25
21,9.5
22,10.25
23,10.5
24,10.75
25,11.5
26,11.75
27,12.5
28,13.25
29,14.0
30,14.25
31,14.5
32,15.25
33,16.0
34,16.25
35,16.5
36,17.25
37,17.5
38,17.75
39,18.0
40,18.25
41,18.5
42,18.75
43,19.5
44,20.25
45,20.5
46,21.25
47,21.5
48,21.75
49,22.5
50,22.75
51,23.5
52,24.25
53,25.0
54,25.25
55,25.5
56,26.25
57,27.0
58,27.25
59,27.5
60,28.25
61,28.5
62,28.75
63,29.0
64,29.25
65,29.5
66,29.75
67,30.5
68,31.25
69,31.5
70,31.75
71,32.0
72,32.25
73,33.0
74,33.25
75,33.5
76,34.25
77,34.5
78,34.75
79,35.0
80,35.25
81,35.5
82,35.75
83,36.5
84,37.25
85,38.0
86,38.25
87,38.5
88,39.25
89,40.0
90,40.25
91,41.0
92,41.75
93,42.0
94,42.25
95,43.0
96,43.25
97,44.0
98,44.25
99,45.0
100,45.75
101,46.0
102,46.25
103,46.5
104,47.25
105,48.0
106,48.25
107,49.0
108,49.75
109,50.5
110,50.75
111,51.0
112,51.75
113,52.0
114,52.25
115,53.0
116,53.75
117,54.0
118,54.25
119,55.0
120,55.25
121,56.0
122,56.25
123,57.0
124,57.75
125,58.5
126,58.75
127,59.5
128,59.75
129,60.0
130,60.25
131,60.5
132,61.25
133,61.5
134,61.75
135,62.0
136,62.25
137,62.5
138,62.75
139,63.5
140,64.25
141,64.5
142,65.25
143,66.0
144,66.25
145,67.0
146,67.25
147,68.0
148,68.75
149,69.0
150,69.25
151,70.0
152,70.25
153,71.0
154,71.25
155,72.0
156,72.75
157,73.5
158,73.75
159,74.0
160,74.75
161,75.5
162,75.75
163,76.5
164,77.25
165,78.0
166,78.25
167,78.5
168,79.25
169,80.0
170,80.25
171,81.0
172,81.75
173,82.0
174,82.25
175,82.5
176,82.75
177,83.5
178,83.75
179,84.5
180,85.25
181,85.5
182,85.75
183,86.5
184,87.25
185,88.0
186,88.25
187,89.0
188,89.75
189,90.0
190,90.25
191,91.0
192,91.25
193,92.0
